1.768,-0.292,-1.5,Sirius
1.675,-0.920,-0.7,AL CAR
3.734,0.335,-0.0,Arcturus
3.838,-1.062,-0.0,AL1 CEN
4.874,0.677,0.0,Vega
1.382,0.803,0.1,Capella
1.372,-0.143,0.1,Rigel
2.004,0.091,0.4,Procyion
0.426,-0.999,0.5,AL ERI
1.550,0.129,0.5,Betelgeuse
3.682,-1.054,0.6,BE CEN
5.196,0.155,0.8,AL AQL
1.204,0.288,0.8,Aldebaran
4.317,-0.461,1.0,AL SCO
3.513,-0.195,1.0,AL VIR
2.030,0.489,1.1,Pollux
6.011,-0.517,1.2,AL PSA
3.350,-1.042,1.2,BE CRU
5.417,0.790,1.2,Deneb
3.838,-1.062,1.3,AL2 CEN
2.655,0.209,1.4,AL LEO
1.827,-0.506,1.5,EP CMA
1.984,0.557,1.6,Castor
3.258,-1.101,1.6,AL1 CRU
1.984,0.557,1.6,AL GEM
3.278,-0.997,1.6,GA CRU
4.597,-0.648,1.6,LA SCO
1.419,0.111,1.6,Bellatrix
1.424,0.499,1.6,BE TAU
2.414,-1.217,1.7,BE CAR
1.467,-0.021,1.7,EP ORI
5.796,-0.820,1.7,AL GRU
3.377,0.977,1.8,EP UMA
2.136,-0.826,1.8,GA2 VEL
0.892,0.870,1.8,AL PER
2.896,1.078,1.8,AL UMA
1.869,-0.461,1.8,DE CMA
4.818,-0.600,1.9,EP SGR
2.193,-1.039,1.9,EP CAR
3.611,0.861,1.9,ET UMA
4.613,-0.750,1.9,TH SCO
1.569,0.784,1.9,BE AUR
4.401,-1.205,1.9,AL TRA
1.735,0.286,1.9,GA GEM
5.348,-0.990,1.9,AL PAV
2.289,-0.955,2.0,DE VEL
1.670,-0.313,2.0,BE CMA
2.477,-0.151,2.0,AL HYA
0.555,0.409,2.0,AL ARI
0.663,1.558,2.0,Polaris
4.954,-0.459,2.0,SI SGR
0.190,-0.314,2.0,BE CET
1.487,-0.034,2.0,ZE ORI
0.037,0.508,2.1,AL AND
0.304,0.622,2.1,BE AND
1.517,-0.169,2.1,KA ORI
3.694,-0.635,2.1,TH CEN
3.886,1.294,2.1,BE UMI
4.603,0.219,2.1,AL OPH
3.258,-1.101,2.1,AL2 CRU
5.946,-0.818,2.1,BE GRU
0.821,0.715,2.1,BE PER
3.094,0.254,2.1,BE LEO
3.323,-0.855,2.2,GA CEN
5.333,0.703,2.2,GA CYG
2.391,-0.758,2.2,LA VEL
0.177,0.987,2.2,AL CAS
1.449,-0.005,2.2,DE ORI
4.078,0.466,2.2,AL CRB
4.698,0.899,2.2,GA DRA
2.110,-0.698,2.2,ZE PUP
2.431,-1.035,2.2,JO CAR
0.541,0.739,2.3,GA1 AND
0.040,1.032,2.3,BE CAS
3.508,0.959,2.3,ZE UMA
4.408,-0.599,2.3,EP SCO
3.577,-0.933,2.3,EP CEN
3.848,-0.827,2.3,AL LUP
3.820,-0.736,2.3,ET CEN
4.190,-0.395,2.3,DE SCO
2.888,0.984,2.4,BE UMA
0.115,-0.738,2.4,AL PHE
5.691,0.172,2.4,EP PEG
4.636,-0.681,2.4,KA SCO
6.038,0.490,2.4,BE PEG
4.496,-0.274,2.4,ET OPH
3.115,0.937,2.4,GA UMA
5.579,1.092,2.4,AL CEP
1.938,-0.511,2.5,ET CMA
5.438,0.593,2.5,EP CYG
0.247,1.060,2.5,GA CAS
6.042,0.265,2.5,AL PEG
2.453,-0.960,2.5,KA VEL
0.795,0.071,2.5,AL CET
3.646,-0.825,2.5,ZE CEN
2.941,0.358,2.6,DE LEO
4.351,-0.184,2.6,ZE OPH
1.452,-0.311,2.6,AL LEP
