1.76779,-0.29175,-1.5,AL CMA
1.67531,-0.91971,-0.7,AL CAR
3.73352,0.33480,-0.0,AL BOO
3.83799,-1.06178,-0.0,AL1 CEN
4.87356,0.67690,0.0,AL LYR
1.38181,0.80282,0.1,AL AUR
1.37243,-0.14315,0.1,BE ORI
2.00408,0.09119,0.4,AL CMI
0.42636,-0.99897,0.5,AL ERI
1.54973,0.12928,0.5,AL ORI
3.68187,-1.05370,0.6,BE CEN
5.19577,0.15478,0.8,AL AQL
1.20393,0.28814,0.8,AL TAU
4.31710,-0.46132,1.0,AL SCO
3.51331,-0.19480,1.0,AL VIR
2.03032,0.48915,1.1,BE GEM
6.01113,-0.51701,1.2,AL PSA
3.34982,-1.04176,1.2,BE CRU
5.41676,0.79029,1.2,AL CYG
3.83799,-1.06178,1.3,AL2 CEN
2.65452,0.20887,1.4,AL LEO
1.82660,-0.50566,1.5,EP CMA
1.98356,0.55656,1.6,AL GEM
3.25765,-1.10128,1.6,AL1 CRU
1.98356,0.55656,1.6,AL GEM
3.27758,-0.99681,1.6,GA CRU
4.59723,-0.64758,1.6,LA SCO
1.41865,0.11082,1.6,GA ORI
1.42372,0.49930,1.6,BE TAU
2.41380,-1.21680,1.7,BE CAR
